bd,wl,umax,,
4.2,0.4,20.34361307,12.678708,38%
4.2,0.5,12.91166653,11.706884,9%
4.2,0.6,14.76675977,10.831308,27%
4.3,0.1,16.62319587,16.850893,-1%
4.3,0.2,18.47648496,15.48077,16%
4.3,0.3,20.32096615,14.206895,30%
4.3,0.4,12.89936658,13.029268,-1%
4.3,0.5,14.75191931,11.947889,19%
4.3,0.6,16.60568143,10.962758,34%
4.4,0.1,18.45661779,17.54261,5%
4.4,0.2,20.29923723,16.062932,21%
4.4,0.3,12.88779312,14.679502,-14%
4.4,0.4,14.73787147,13.39232,9%
4.4,0.5,16.58907583,12.201386,26%
4.4,0.6,18.43762298,11.1067,40%
4.5,0.1,20.27835439,18.246819,10%
4.5,0.2,12.87691971,16.657586,-29%
4.5,0.3,14.72460182,15.164601,-3%
4.5,0.4,16.57330369,13.767864,17%
4.5,0.5,18.41941781,12.467375,32%
4.5,0.6,20.25833978,11.263134,44%
4.6,0.1,12.86670515,18.96352,-47%
4.6,0.2,14.71204405,17.264732,-17%
4.6,0.3,16.55831389,15.662192,5%
4.6,0.4,18.40202968,14.1559,23%
4.6,0.5,20.23909951,12.745856,37%
4.6,0.6,12.85707506,11.43206,11%
4.7,0.1,14.70018606,19.692713,-34%
4.7,0.2,16.54407756,17.88437,-8%
4.7,0.3,18.38552489,16.172275,12%
4.7,0.4,20.22063174,14.556428,28%
4.7,0.5,12.84796844,13.036829,-1%
4.7,0.6,14.68899364,11.613478,21%
4.8,0.1,16.53056187,20.434398,-24%
4.8,0.2,18.36975064,18.5165,-1%
4.8,0.3,20.20283383,16.69485,17%
4.8,0.4,12.83938335,14.969448,-17%
4.8,0.5,14.67840782,13.340294,9%
4.8,0.6,16.51765109,11.807388,29%
4.9,0.1,18.35468212,21.188575,-15%
4.9,0.2,20.18580283,19.161122,5%
4.9,0.3,12.83122544,17.229917,-34%
4.9,0.4,14.66833796,15.39496,-5%
4.9,0.5,16.50540212,13.656251,17%
4.9,0.6,18.3403061,12.01379,34%
5,0.1,20.16946326,21.955244,-9%
5,0.2,12.82348806,19.818236,-55%
5,0.3,14.65879722,17.777476,-21%
5,0.4,16.49381691,15.832964,4%
5,0.5,18.32657742,13.9847,24%
5,0.6,20.15377787,12.232684,39%
